feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_gas_price,LSTM,IntegratedGradients,6.911951,baseNoCats,-11.867602,-4.19e-07,8.746343
month,LSTM,IntegratedGradients,6.407421,baseNoCats,-9.373905,-3.31e-07,6.018951
state_snap,LSTM,IntegratedGradients,4.7024584,baseNoCats,81.49942,2.87e-06,2.483555
day_of_month,LSTM,IntegratedGradients,4.2222533,baseNoCats,52.992207,1.87e-06,3.9553564
event_type_1,LSTM,IntegratedGradients,1.4312692,baseNoCats,4.9483395,1.75e-07,1.339259
sell_price,LSTM,IntegratedGradients,1.1442013,baseNoCats,3.174113,1.12e-07,0.9866517
event_name_1,LSTM,IntegratedGradients,0.6099877,baseNoCats,2.8667736,1.01e-07,0.785168
state_ur_mom_delta,LSTM,IntegratedGradients,0.4909646,baseNoCats,-17.759827,-6.26e-07,2.4527907
state_gas_wow_delta,LSTM,IntegratedGradients,0.23253147,baseNoCats,-5.6188955,-1.98e-07,0.20323387
state_cpi_mom_delta,LSTM,IntegratedGradients,0.15258116,baseNoCats,-5.3307123,-1.88e-07,0.71265686
event_name_2,LSTM,IntegratedGradients,0.0,baseNoCats,0.0,0.0,0.0
event_type_2,LSTM,IntegratedGradients,0.0,baseNoCats,0.0,0.0,0.0
item_category,LSTM,IntegratedGradients,31.290955,FOODS,33.2661,2.15e-06,36.60347
day_of_week,LSTM,IntegratedGradients,21.408855,FOODS,-1.6784717,-1.08e-07,11.625302
state_ur,LSTM,IntegratedGradients,16.648016,FOODS,3.4887002,2.25e-07,20.455463
state_cpi,LSTM,IntegratedGradients,7.277368,FOODS,-5.310242,-3.43e-07,6.940932
consumer_sentiment,LSTM,IntegratedGradients,5.374459,FOODS,6.8806677,4.44e-07,8.318979
state_gas_price,LSTM,IntegratedGradients,4.595507,FOODS,-6.701818,-4.33e-07,5.6322083
month,LSTM,IntegratedGradients,4.3356442,FOODS,-5.002101,-3.23e-07,3.858836
state_snap,LSTM,IntegratedGradients,3.5925646,FOODS,48.213882,3.11e-06,1.68868
day_of_month,LSTM,IntegratedGradients,2.8610532,FOODS,29.865126,1.93e-06,2.4811647
event_type_1,LSTM,IntegratedGradients,0.94207144,FOODS,2.9124255,1.88e-07,0.93439734
sell_price,LSTM,IntegratedGradients,0.6611773,FOODS,7.4100285,4.79e-07,0.43811053
event_name_1,LSTM,IntegratedGradients,0.44419616,FOODS,1.5217979,9.83e-08,0.5218056
