feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_snap,DeepLIFT,3.3882153,HOUSEHOLD,42.32017,5.03E-06,2.6074238
event_type_1,DeepLIFT,1.0972371,HOUSEHOLD,2.511359,2.98E-07,1.0776099
event_name_1,DeepLIFT,0.7668594,HOUSEHOLD,1.7235,2.05E-07,1.22539
sell_price,DeepLIFT,0.74671066,HOUSEHOLD,-2.1693966,-2.58E-07,0.73624665
state_ur_mom_delta,DeepLIFT,0.2679631,HOUSEHOLD,-4.9594803,-5.89E-07,0.27788803
state_gas_wow_delta,DeepLIFT,0.14501086,HOUSEHOLD,-1.8952893,-2.25E-07,0.12317301
state_cpi_mom_delta,DeepLIFT,0.08688833,HOUSEHOLD,-1.5244707,-1.81E-07,0.02319243
event_name_2,DeepLIFT,0,HOUSEHOLD,0,0,0
event_type_2,DeepLIFT,0,HOUSEHOLD,0,0,0
item_category,IntegratedGradients,29.893728,base,33.83776,1.81E-06,36.42888
day_of_week,IntegratedGradients,22.012045,base,-1.9617906,-1.05E-07,11.039252
state_ur,IntegratedGradients,16.840736,base,3.3174813,1.78E-07,19.914783
state_cpi,IntegratedGradients,7.386267,base,-6.2081814,-3.33E-07,6.733803
consumer_sentiment,IntegratedGradients,5.392328,base,7.856168,4.21E-07,8.183679
state_gas_price,IntegratedGradients,4.8400497,base,-7.8126035,-4.19E-07,5.5465994
month,IntegratedGradients,4.4615097,base,-6.1555195,-3.30E-07,3.8151047
state_snap,IntegratedGradients,3.3198462,base,54.04128,2.90E-06,1.5929265
day_of_month,IntegratedGradients,2.976985,base,35.01699,1.88E-06,2.532705
event_type_1,IntegratedGradients,1.0008502,base,3.2553787,1.75E-07,0.8657944
sell_price,IntegratedGradients,0.8017164,base,1.8096404,9.71E-08,0.63024974
event_name_1,IntegratedGradients,0.46342427,base,1.8770611,1.01E-07,0.5876372
state_ur_mom_delta,IntegratedGradients,0.34378165,base,-11.703938,-6.28E-07,1.5489147
state_gas_wow_delta,IntegratedGradients,0.16087085,base,-3.680802,-1.97E-07,0.12870987
state_cpi_mom_delta,IntegratedGradients,0.10586044,base,-3.4889288,-1.87E-07,0.45095378
event_name_2,IntegratedGradients,0,base,0,0,0
event_type_2,IntegratedGradients,0,base,0,0,0
day_of_week,IntegratedGradients,31.241295,baseNoCats,-3.0490122,-1.08E-07,17.251158
state_ur,IntegratedGradients,24.144073,baseNoCats,5.022072,1.77E-07,31.469976
state_cpi,IntegratedGradients,10.585524,baseNoCats,-9.486602,-3.35E-07,10.644605
consumer_sentiment,IntegratedGradients,7.723489,baseNoCats,11.983623,4.23E-07,12.950295
state_gas_price,IntegratedGradients,6.911951,baseNoCats,-11.867602,-4.19E-07,8.746343
month,IntegratedGradients,6.407421,baseNoCats,-9.373905,-3.31E-07,6.018951
state_snap,IntegratedGradients,4.7024584,baseNoCats,81.49942,2.87E-06,2.483555
day_of_month,IntegratedGradients,4.2222533,baseNoCats,52.992207,1.87E-06,3.9553564
event_type_1,IntegratedGradients,1.4312692,baseNoCats,4.9483395,1.75E-07,1.339259
sell_price,IntegratedGradients,1.1442013,baseNoCats,3.174113,1.12E-07,0.9866517
event_name_1,IntegratedGradients,0.6099877,baseNoCats,2.8667736,1.01E-07,0.785168
state_ur_mom_delta,IntegratedGradients,0.4909646,baseNoCats,-17.759827,-6.26E-07,2.4527907
state_gas_wow_delta,IntegratedGradients,0.23253147,baseNoCats,-5.6188955,-1.98E-07,0.20323387
state_cpi_mom_delta,IntegratedGradients,0.15258116,baseNoCats,-5.3307123,-1.88E-07,0.71265686
event_name_2,IntegratedGradients,0,baseNoCats,0,0,0
event_type_2,IntegratedGradients,0,baseNoCats,0,0,0
item_category,IntegratedGradients,31.290955,FOODS,33.2661,2.15E-06,36.60347
day_of_week,IntegratedGradients,21.408855,FOODS,-1.6784717,-1.08E-07,11.625302
state_ur,IntegratedGradients,16.648016,FOODS,3.4887002,2.25E-07,20.455463
state_cpi,IntegratedGradients,7.277368,FOODS,-5.310242,-3.43E-07,6.940932
consumer_sentiment,IntegratedGradients,5.374459,FOODS,6.8806677,4.44E-07,8.318979
state_gas_price,IntegratedGradients,4.595507,FOODS,-6.701818,-4.33E-07,5.6322083
month,IntegratedGradients,4.3356442,FOODS,-5.002101,-3.23E-07,3.858836
