feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
state_cpi,SmoothGrad,HOUSEHOLD,5.7686167,5.7686167,0.00016049374,4.5554833
state_ur,SmoothGrad,HOUSEHOLD,5.751519,5.751519,0.00016001805,5.70944
state_ur_mom_delta,SmoothGrad,HOUSEHOLD,5.4716725,5.4716725,0.0001522322,4.92251
event_type_2,SmoothGrad,HOUSEHOLD,5.469189,5.469189,0.0001521631,4.9630084
day_of_month,SmoothGrad,HOUSEHOLD,5.407557,5.407557,0.00015044838,5.129614
event_name_1,SmoothGrad,HOUSEHOLD,4.671816,4.671816,0.00012997868,4.9653554
month,SmoothGrad,HOUSEHOLD,4.407103,4.407103,0.00012261387,4.5503454
state_gas_price,SmoothGrad,HOUSEHOLD,4.077562,4.077562,0.00011344542,3.9279678
state_gas_wow_delta,SmoothGrad,HOUSEHOLD,3.1268075,3.1268075,8.6993656e-05,3.466989
state_snap,SmoothGrad,HOUSEHOLD,2.7119882,2.7119882,7.5452605e-05,3.3624709
item_category,SmoothGrad,HOUSEHOLD,2.1515834,2.1515834,5.9861093e-05,3.05958
