feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
consumer_sentiment,IntegratedGradients,HOBBIES,4.880176,4.300617,5.8529697e-08,7.784682
state_gas_price,IntegratedGradients,HOBBIES,3.6961575,8.492049,1.1557343e-07,2.9324903
item_category,IntegratedGradients,HOBBIES,0.8781587,-11.642027,-1.5844338e-07,0.49160415
state_ur_mom_delta,IntegratedGradients,HOBBIES,0.34420928,16.454782,2.239431e-07,1.5550058
state_cpi_mom_delta,IntegratedGradients,HOBBIES,0.10556484,5.132153,6.984657e-08,0.6904879
state_gas_wow_delta,IntegratedGradients,HOBBIES,0.023664827,-0.62647307,-8.526051e-09,0.038395885
event_name_2,IntegratedGradients,HOBBIES,0.0,0.0,0.0,0.0
event_type_2,IntegratedGradients,HOBBIES,0.0,0.0,0.0,0.0
day_of_week,IntegratedGradients,HOUSEHOLD,13.171085,-158.00351,1.0326106e-06,14.407596
event_name_1,IntegratedGradients,HOUSEHOLD,13.02067,102.800606,-6.718395e-07,16.180723
event_type_1,IntegratedGradients,HOUSEHOLD,12.797873,-91.81437,6.0004044e-07,14.558321
day_of_month,IntegratedGradients,HOUSEHOLD,11.411017,30.439419,-1.9893272e-07,6.093258
state_snap,IntegratedGradients,HOUSEHOLD,7.544347,-54.78136,3.580162e-07,6.9032097
item_category,IntegratedGradients,HOUSEHOLD,7.4301643,157.57446,-1.0298066e-06,4.430266
month,IntegratedGradients,HOUSEHOLD,6.844118,-23.96367,1.5661134e-07,6.60869
state_ur,IntegratedGradients,HOUSEHOLD,6.703753,-29.051086,1.8985946e-07,10.6738825
sell_price,IntegratedGradients,HOUSEHOLD,6.560385,262.19043,-1.7135103e-06,4.7500105
state_cpi,IntegratedGradients,HOUSEHOLD,5.8889093,-33.062595,2.1607613e-07,4.55143
consumer_sentiment,IntegratedGradients,HOUSEHOLD,4.679711,-10.100254,6.600885e-08,7.731031
state_gas_price,IntegratedGradients,HOUSEHOLD,3.5782788,-17.686453,1.1558742e-07,2.9557784
state_ur_mom_delta,IntegratedGradients,HOUSEHOLD,0.2594746,-26.818493,1.7526864e-07,0.095395826
state_cpi_mom_delta,IntegratedGradients,HOUSEHOLD,0.08741236,-9.03467,5.9044865e-08,0.021743186
state_gas_wow_delta,IntegratedGradients,HOUSEHOLD,0.02280629,1.31154,-8.5713925e-09,0.038671385
event_name_2,IntegratedGradients,HOUSEHOLD,0.0,-0.0,0.0,0.0
event_type_2,IntegratedGradients,HOUSEHOLD,0.0,-0.0,0.0,0.0
day_of_week,GradientSHAP,base,13.150578,37.55844,-1.9212713e-07,13.994005
event_name_1,GradientSHAP,base,11.537193,37.01404,-1.8934232e-07,15.92123
event_type_1,GradientSHAP,base,11.305317,-12.273902,6.278614e-08,14.528961
day_of_month,GradientSHAP,base,11.168351,11.260041,-5.7599824e-08,6.3521786
state_snap,GradientSHAP,base,8.473485,2.3685212,-1.2115977e-08,7.1106563
month,GradientSHAP,base,7.758134,-40.95421,2.0949791e-07,6.6510625
state_cpi,GradientSHAP,base,7.21215,-28.909195,1.4788262e-07,4.978356
state_ur,GradientSHAP,base,7.038371,-109.13065,5.582489e-07,10.214255
item_category,GradientSHAP,base,6.1919374,4.9294643,-2.5216272e-08,4.1193624
sell_price,GradientSHAP,base,5.748608,188.94508,-9.665331e-07,4.60183
consumer_sentiment,GradientSHAP,base,5.7419972,34.531307,-1.7664208e-07,7.34981
state_gas_price,GradientSHAP,base,4.6135573,-28.950462,1.4809372e-07,3.1600037
state_ur_mom_delta,GradientSHAP,base,0.053480767,4.1055408,-2.1001558e-08,0.69537574
state_gas_wow_delta,GradientSHAP,base,0.004501572,-0.15679324,8.0206297e-10,0.04237388
state_cpi_mom_delta,GradientSHAP,base,0.002338633,-0.33722106,1.7250268e-09,0.28054526
event_name_2,GradientSHAP,base,0.0,-0.0,0.0,0.0
event_type_2,GradientSHAP,base,0.0,-0.0,0.0,0.0
day_of_week,GradientSHAP,baseNoCats,14.205079,-200.06892,-4.0571507e-07,14.872432
event_name_1,GradientSHAP,baseNoCats,12.22643,-78.02555,-1.5822617e-07,16.587618
event_type_1,GradientSHAP,baseNoCats,12.105324,57.799194,1.1720963e-07,15.210517
day_of_month,GradientSHAP,baseNoCats,11.7790165,-55.13293,-1.1180277e-07,6.5543046
state_snap,GradientSHAP,baseNoCats,9.012374,34.971027,7.091692e-08,7.486457
month,GradientSHAP,baseNoCats,8.102872,31.821499,6.453007e-08,6.921442
state_cpi,GradientSHAP,baseNoCats,7.543951,-68.7059,-1.3932708e-07,5.0561213
state_ur,GradientSHAP,baseNoCats,7.484681,395.02322,8.010583e-07,10.824258
sell_price,GradientSHAP,baseNoCats,6.28371,-75.59392,-1.5329513e-07,4.4987416
consumer_sentiment,GradientSHAP,baseNoCats,6.0941434,-58.6817,-1.1899924e-07,7.6266184
state_gas_price,GradientSHAP,baseNoCats,5.1407776,113.64206,2.3045206e-07,3.3762224
state_ur_mom_delta,GradientSHAP,baseNoCats,0.018609935,2.1350152,4.3295474e-09,0.66226214
state_cpi_mom_delta,GradientSHAP,baseNoCats,0.0024865645,0.8040289,1.6304713e-09,0.28969628
state_gas_wow_delta,GradientSHAP,baseNoCats,0.0005384069,0.012869223,2.6097196e-11,0.03330639
event_name_2,GradientSHAP,baseNoCats,0.0,0.0,0.0,0.0
